Maladie,Traitement
Bacterial Spot,Appliquer un traitement à base de cuivre
Bacterial Spot,Utiliser des semences résistantes
Bacterial Spot,Éviter l'arrosage par aspersion
Bacterial Spot,Éliminer les feuilles infectées
Bacterial Spot,Utiliser des fongicides spécifiques
Early Blight,Appliquer des fongicides comme le chlorothalonil
Early Blight,Éviter la sur-irrigation
Early Blight,Éliminer les résidus de culture
Early Blight,Alterner les cultures
Early Blight,Utiliser des variétés résistantes
Healthy Leaf,Maintenir des conditions optimales de culture
Healthy Leaf,Assurer un bon drainage du sol
Healthy Leaf,Utiliser des engrais équilibrés
Healthy Leaf,Éviter les stress hydriques
Healthy Leaf,Surveiller régulièrement pour détecter les problèmes
Late Blight,Appliquer des fongicides systémiques
Late Blight,Détruire les plantes infectées
Late Blight,Espacer les plants pour une bonne aération
Late Blight,Surveiller les conditions météo favorables à la maladie
Late Blight,Utiliser des variétés résistantes au mildiou
Molds,Réduire l'humidité dans la serre
Molds,Éliminer les parties infectées des plantes
Molds,Appliquer un traitement antifongique
Molds,Améliorer la circulation de l'air
Molds,Éviter l'arrosage excessif
Mosaic Virus,Enlever et détruire les plantes infectées
Mosaic Virus,Désinfecter les outils de jardinage
Mosaic Virus,Contrôler les pucerons vecteurs
Mosaic Virus,Utiliser des variétés résistantes
Mosaic Virus,Éviter la manipulation excessive des plantes
Septoria,Appliquer des fongicides contenant du mancozèbe
Septoria,Retirer les feuilles infectées
Septoria,Éviter d'arroser les feuilles directement
Septoria,Espacer les plants pour réduire l'humidité
Septoria,Alterner les cultures pour briser le cycle de la maladie
Yellow Curl Virus,Contrôler les populations d'aleurodes
Yellow Curl Virus,Utiliser des filets anti-insectes
Yellow Curl Virus,Planter des variétés résistantes
Yellow Curl Virus,Appliquer des insecticides biologiques
Yellow Curl Virus,Maintenir une bonne hygiène dans le jardin
